HSPC	EarlyEry	LateEry	GMP	ProMono	Mono	ncMono	cDC	pDC	ProB	PreB	B	Plasma	CD4Naive	CD4Memory	CD8Naive	CD8Memory	CD8TermExh	GammaDeltaLike	NKT	NK	Doublets
SPINK2	FAM178B	HBM	PRTN3	MPO	S100A9	FCGR3A	HLA-DPA1	IRF8	IGLL1	CD79B	MS4A1	IGKC	BCL11B	IL7R	CD8B	IL7R	GZMK	KLRB1	GZMH	GNLY	HBA1
AREG	BLVRB	HBA2	ELANE	LYZ	S100A8	LST1	CST3	TCF4	DNTT	TCL1A	CD79A	IGHA1	LTB	LTB	NELL2	KLRB1	CCL5	CCL20	GNLY	NKG7	HBA2
CDK6	PRDX2	HBB	MPO	RNASE2	S100A12	CDKN1C	FCER1A	CCDC50	VPREB1	IGHM	IGHM	IGLC2	KLF2	IL32	IL7R	GZMK	DUSP2	MT2A	NKG7	GZMB	HBD
AVP	APOC1	HBA1	AZU1	RETN	FCN1	AIF1	HLA-DRA	GZMB	STMN1	SOX4	BANK1	IGHG1	NOSIP	TRAC	OXNAD1	IL32	CCL4	DUSP2	CCL5	PRF1	HBB
NRIP1	TMEM14C	HBD	CTSG	ELANE	VCAN	IFITM3	HLA-DRB1	IRF7	VPREB3	VPREB3	RALGPS2	IGLC3	JUNB	BCL11B	CD8A	DUSP2	RGS1	IL7R	FGFBP2	FGFBP2	SLC25A37
NPR3	REXO2	SLC4A1	PRSS57	PRTN3	CTSS	MS4A7	HLA-DPB1	JCHAIN	CD79B	VPREB1	IGHD	IGHG3	IL7R	CD3G	LEF1	JUN	CD8A	IER2	CST7	KLRD1	SNCA
TSC22D1	SYNGR1	CA1	CALR	AZU1	CXCL8	SAT1	CD74	UGCG	SOX4	CD24	TNFRSF13C	IGHG2	DDIT4	ITGB1	CCR7	CCL5	CMC1	SLC4A10	GZMA	CCL3	ALAS2
MSI2	ATP5IF1	AHSP	RNASE2	LGALS1	CD14	SERPINA1	HLA-DQA1	PPP1R14B	MME	BCL7A	HLA-DQA1	IGHGP	LEPROTL1	CD3D	PDE3B	TNFAIP3	IL32	CD69	IL32	CCL4	SLC4A1
CRHBP	KCNH2	HEMGN	NUCB2	SRGN	THBS1	FCER1G	SAMHD1	APP	TUBA1B	IRF4	CD74	JCHAIN	TCF7	CD3E	TCF7	CD69	TUBA4A	JUN	GZMM	SPON2	HBM
CD34	AHSP	GYPA	CLEC11A	S100A8	NAMPT	COTL1	HLA-DQB1	ITM2C	H4C3	IGLL1	HLA-DRA	IGHG4	MAL	TRBC2	PIK3IP1	CD2	GZMA	TNF	CD3D	CLIC3	AHSP
