wtUMIs	mutUMIs
356	101
27	15
386	62
2502	92
709	69
119	14
29	0
297	0
839	0
526	0
1287	819
1288	1045
1780	348
348	219
129	64
27	99
127	29
117	19
143	3
237	15
4497	16
52	15
1744	2
33	0
1043	13
167	1
3249	204
3249	11
3249	5
3249	10
3249	6
26276	175
97176	12561
6866	377
616	181
171	79
335	123
361	0
548	3
2818	976
68	47
1286	410
16	6
1512	744
177	90
9093	21282
9104	2075
9108	1867
9123	1253
9096	658
2425	2565
22	56
11	0
172	18
365	0
2439	551
673	124
3006	676
3256	624
4935	885
16239	565
41053	5054
323	258
94	1952
77704	66301
248	441
1118	1156
901	727
3	52
