gene	healthy_mean	premalignant_mean	healthy.pct	premalignant.pct	avg_log2FC	p_val	p_val_adj
LYZ	2.7113810911361775	15.118420904556595	0.315	0.465	2.1186823600877362	2.557997452094836e-5	0.5077880742153459
VCAN	0.12301180737124313	2.908583076227185	0.039	0.141	1.799272605973896	7.538204470471944e-5	1
S100A9	0.6383740766230389	2.946886875979481	0.108	0.236	1.2684503764918649	9.34440316777993e-5	1
F13A1	0.22350002048394071	1.4354333294702675	0.069	0.414	0.9931643640498928	1.9073020224452148e-18	3.786185244755996e-14
S100A8	0.5397229472930088	2.0289608212676034	0.099	0.162	0.9761521369612913	0.023099119895066394	1
MS4A6A	2.5338992295617704	5.822427583291142	0.36	0.624	0.9490242745877706	3.3568735540012035e-11	6.663729692047789e-7
TOP2A	0.3303158537471965	1.5226318673069905	0.074	0.135	0.9231608642452813	0.016685206929607923	1
FCN1	0.07844562544812039	0.9672020660674354	0.03	0.103	0.8671917166946151	0.001004966304776525	1
TXN	11.467666359329309	20.885811929099553	0.916	0.952	0.8118044532917756	1.6393298365170114e-8	3.2542336584699195e-4
FGL2	0.1455357077930353	0.9971910776536843	0.054	0.2	0.8019499366628711	8.706338123742353e-7	0.017282951809440943
ANXA1	0.9379295174918422	2.342151773283599	0.207	0.428	0.786261149452728	2.8183531718715094e-8	5.594712881482134e-4
CPVL	0.14188160949140907	0.9557903725236392	0.044	0.234	0.7763386666458661	1.934483789033718e-9	3.8401437696108335e-5
PRXL2A	0.9601396459743469	2.3540505053710543	0.335	0.503	0.7749479734641247	6.142249230408015e-7	0.012192978947282952
MNDA	0.07469309992774285	0.7802094104126527	0.025	0.123	0.728122230685567	4.406986031060841e-5	0.8748307970258876
DRD4	0.4269849235200933	1.354221580270788	0.163	0.295	0.7222800213648806	4.390373837753134e-5	0.8715331105323747
ASPM	0.15523947434107535	0.8774726393508916	0.074	0.115	0.7005999384831939	0.07809529953380188	1
IL6R	0.7135698905783999	1.7783459656226948	0.3	0.463	0.6972212224095963	4.696907324602458e-6	0.09323830730068339
CENPF	0.6285834727072086	1.639620174342827	0.158	0.158	0.6967126826117799	0.8112064890366106	1
IGLC2	0.13677233183564602	0.8343362299701422	0.059	0.129	0.6903147601035197	0.004661969175869953	1
TCL1A	4.778608349051537	8.323763212049576	0.35	0.616	0.6901902728613241	6.608008651064667e-9	1.311755797322847e-4
CTSG	0.13650655096700787	0.8197937834031231	0.064	0.119	0.6791689753585105	0.022548242888065218	1
HLA-DPA1	13.472125779074009	22.118883341126857	0.946	0.984	0.6757948645308822	4.123174515893246e-20	8.184913731499682e-16
APLP2	1.0038246176766152	2.1729783640643827	0.335	0.572	0.6630814399041505	5.8208773166490426e-8	0.0011555023561280015
HRH2	0.1360790540653375	0.793104948829921	0.064	0.315	0.6583967020531577	3.3703030512906195e-12	6.690388587117009e-8
SCARA5	0.34201370042230855	1.094911360822511	0.153	0.277	0.6424898025170511	1.9847428625182595e-4	1
NOTCH2	0.6674278051163326	1.576425598526427	0.276	0.519	0.6277466330819641	3.793369551245977e-9	7.530217896178389e-5
DTX4	0.40653043446929726	1.1585369978668787	0.143	0.329	0.6179130511785671	1.0008239500603327e-6	0.019867356232647664
NRP1	1.3592708774412374	2.6040587311465795	0.355	0.626	0.6112814515177478	6.875778325089109e-10	1.364910755313439e-5
CST3	18.91664310834796	29.168465683856017	0.97	0.929	0.5990668194808881	1.101344243029685e-5	0.2186278456838228
SHTN1	1.0463186924167371	2.0898191760924005	0.291	0.513	0.5944915634749233	2.827759346713244e-8	5.61338507916046e-4
CLEC10A	0.02844240230510158	0.5516993362525705	0.015	0.077	0.5933880436838188	0.001388659216586836	1
MPO	0.3277112924596269	0.994325312772684	0.089	0.115	0.5869592898940836	0.31194780378798037	1
MLEC	2.9715404402049037	4.9638922505021155	0.685	0.875	0.586555499107462	1.1325616549549049e-12	2.2482481412509817e-8
LITAF	1.2860751623563214	2.4161935027082677	0.448	0.671	0.5795168577852658	4.3912181842844526e-8	8.717007217623067e-4
HLA-DRB1	15.871880073941533	23.991315616851658	0.956	0.996	0.5668061056209215	2.733535644534042e-18	5.426341607964527e-14
NBPF20	0.10915194702148566	0.6389647272553989	0.049	0.131	0.5633277865963089	0.0011576456892075048	1
LST1	0.7231573496149308	1.5388142453360174	0.276	0.396	0.5591003958874912	0.0025499210615290958	1
ATP2B4	1.2946305215491742	2.3771950545667178	0.394	0.657	0.5575636351548932	9.79112565924997e-10	1.943636354617712e-5
PLAUR	0.29303706545589786	0.8765385935038151	0.123	0.335	0.537310330259881	1.442011103961623e-8	2.862536242474218e-4
DMXL2	0.764270777267381	1.5508396215921367	0.246	0.428	0.5319001952659252	4.715582984928952e-6	0.09360903783382464
SRPX	0.09164477290221286	0.5686638422584027	0.03	0.238	0.523032750369225	1.1120492516465958e-10	2.207528969443657e-6
FBP1	0.3258659696725151	0.8970000882256534	0.163	0.366	0.516784803474149	7.77036041439411e-8	0.0015424942458613748
MKI67	1.3682357508333387	2.3835344024822236	0.138	0.17	0.5147183532719002	0.247817512614978	1
PAFAH2	0.31329620829670446	0.8722949302943579	0.143	0.277	0.5116153644971415	7.151524577287752e-5	1
CCR2	0.8311464535276203	1.6103837976229318	0.286	0.426	0.5115147566486635	6.639597552722933e-4	1
