gene	normal_pdcs	malignant_pdcs	logFC	pval
IGLL1	0.350969770668847	2.80425629906494	2.45328652839609	4.89995908227794e-94
TCL1A	1.1041447788572	3.18088450194764	2.07673972309044	5.14380460569349e-67
HES6	0.163444815859832	2.22343909860861	2.05999428274878	3.23417268807925e-104
PTGDS	0.680891683148832	2.3949619187076	1.71407023555877	2.578474044706e-28
ARPP21	0.161437899763028	1.5915315118341	1.43009361207107	2.30522168401935e-77
LAMP5	0.805219428317887	2.22386878171818	1.41864935340029	1.78691528332715e-62
PDLIM1	0.154352218042458	1.55707613320724	1.40272391516478	1.36040159746373e-78
S100A4	1.57109281638323	2.90442440105458	1.33333158467135	1.49706713721221e-36
NUCB2	1.88645389324549	3.20665145340523	1.32019756015974	3.28395875603945e-76
SERPINB2	0.0811211830918794	1.37423453828548	1.2931133551936	1.6962435643799e-61
SOX4	1.63087587532909	2.91290554071057	1.28202966538148	2.03206313367406e-39
FCER1A	1.03020479709507	2.29851287438099	1.26830807728591	7.60251209491597e-54
SCN3A	0.0252260778299806	1.18027444609473	1.15504836826475	2.79063269932992e-84
FYB1	1.13508446143971	2.24772574352664	1.11264128208692	3.70266202759918e-49
TNNI2	0.455853988386962	1.5432091204874	1.08735513210044	6.52644244969012e-48
GSTP1	1.59170134107415	2.6633735311965	1.07167219012236	4.88504554120404e-53
STMN1	1.82101237739461	2.85668259030471	1.0356702129101	6.17407396697403e-35
PLVAP	0.145966829410519	1.16817532837831	1.02220849896779	6.38744909542092e-65
WASF1	0.307490615986278	1.32755341192216	1.02006279593588	5.02416466825967e-52
GLUL	0.992214169663962	1.98883058081211	0.996616411148151	3.28909590736887e-37
VAMP5	0.418563258994511	1.41517837671168	0.996615117717168	3.59576705217886e-39
TFDP2	0.436932964649407	1.39659798545679	0.95966502080738	2.37340404375533e-44
GXYLT2	0.0774097732597407	0.97990237879238	0.90249260553264	3.93491956554217e-58
MARCKSL1	0.348911832340829	1.23569323362044	0.886781401279611	1.16979176587936e-41
CHCHD7	0.583436113341219	1.46643806132967	0.883001947988453	7.10340865466549e-41
SERHL2	0.0635806001003799	0.941055689949397	0.877475089849017	2.49748538861832e-61
MZB1	1.71915795906755	2.5839266049759	0.864768645908347	3.67924084008746e-25
HMSD	0.0787754353976581	0.903827268132257	0.825051832734599	3.08637551562512e-55
SUSD1	0.482277524487062	1.30213640914289	0.81985888465583	5.10602402483138e-35
AFF3	1.14122261034759	1.92131965961595	0.780097049268358	6.28414511749989e-30
VIPR2	0.1613018618898	0.937006368165557	0.775704506275757	1.05208240369214e-39
BCL2	0.318568309523209	1.09328016460494	0.77471185508173	3.25501499168819e-33
IFITM2	0.764194394529593	1.52743893663323	0.763244542103639	9.83874751054981e-29
IGFBP7	0.182779126590009	0.938943925243758	0.756164798653749	2.31261760671801e-30
MRPL57	0.755304497439333	1.50693002896988	0.751625531530548	1.40922896265817e-31
CLEC11A	0.144001294413138	0.890799087200852	0.746797792787714	2.19533921099502e-37
LAT2	0.263444704663089	0.993026471132686	0.729581766469596	1.65936426363529e-33
PTMA	3.81959936603722	4.54889393249072	0.729294566453496	2.1509476630475e-58
TRDC	0.067099552427299	0.789156382967422	0.722056830540123	1.9469646868626e-36
KDM5B	0.341886547968703	1.06221198302656	0.720325435057856	1.93258413298137e-28
ARMH1	0.498769792853295	1.20119733520763	0.702427542354333	4.93125396858002e-28
MYBPH	0.0717331516129997	0.768428340653297	0.696695189040297	1.22053790241862e-36
PRDX2	0.455754885032203	1.13844516851072	0.682690283478513	3.62915578150635e-25
FTL	2.78289881767046	3.46079855924735	0.677899741576892	1.32680827495677e-21
MPPED2	0.040485500994861	0.708429127869877	0.667943626875016	2.03292544784828e-45
CEP70	0.0415793130332402	0.7074784436817	0.665899130648459	5.4836058271623e-49
RBBP4	1.04523996346946	1.71007089865605	0.664830935186587	3.32975369308424e-27
VPREB1	0.0221483147942857	0.685541625943237	0.663393311148952	4.32654631408193e-36
DYNLL1	1.46632779667559	2.12497278724015	0.658644990564554	2.91453502136157e-19
MYB	0.349695806294185	1.00769952485562	0.658003718561437	7.5666123181683e-26
S100A13	0.14485681710727	0.802336126375174	0.657479309267904	4.32253647367741e-29
RAMP1	0.0389106966185423	0.685365410422596	0.646454713804053	3.57877719296999e-44
S100A11	0.91197555070781	1.55227742458435	0.640301873876535	2.75087023492149e-16
NTM	0.0897073724177947	0.729003131162156	0.639295758744361	1.41595467838545e-37
NDUFS5	1.10177946557392	1.72943264896932	0.627653183395397	1.67300105956454e-25
NIBAN3	1.28914998501725	1.91657149961911	0.627421514601855	1.54545510671366e-21
CCND3	0.666073770959052	1.28099458077254	0.614920809813484	2.7540584598297e-20
CAPG	1.17481877933359	1.78941219300341	0.614593413669821	4.97416404309578e-22
ADA	0.819040621324233	1.43212005816805	0.613079436843816	1.32680827495677e-21
ADAM10	0.724044136043654	1.33604716416149	0.612003028117834	4.24519063108922e-21
CALCOCO2	0.500814257311866	1.10640292925319	0.605588671941323	6.11102868213949e-22
ELOB	1.20387408606554	1.80816184807516	0.604287762009615	2.20815831308636e-19
PRDX1	0.709533138199546	1.31268819578959	0.603155057590044	3.18460897744596e-21
CCDC189	0.299268679631858	0.902102836642638	0.60283415701078	1.5810168485551e-27
PPDPF	1.04174377759376	1.64306535313138	0.601321575537625	5.96873057389574e-19
RCAN1	0.219120502226173	0.818394195544229	0.599273693318056	9.77757127460921e-28
VAMP8	2.34412157859967	2.93978113536871	0.595659556769043	1.55136215177579e-33
MS4A4E	0.0795371714148905	0.664122563921851	0.584585392506961	2.58099421075006e-37
SRP14	2.81777483634675	3.40093774742546	0.583162911078708	1.99705120930214e-28
ICAM2	0.14603668749464	0.727489821851488	0.581453134356847	3.37059075942009e-34
IGKC	2.16696610207091	2.74684999309001	0.579883891019103	7.76984384260294e-14
PLPP1	0.0970216437155592	0.676897177403094	0.579875533687534	1.87026901592707e-36
MIF	0.507019055031992	1.0864015240326	0.579382469000603	1.3585040675988e-19
FHIT	0.110371871812231	0.689149092950452	0.578777221138221	4.25096645440144e-36
SEC61G	1.71404582139333	2.290509573684	0.576463752290669	5.1967225658645e-14
BAX	0.709249315942351	1.28494885121009	0.575699535267738	2.62785586467576e-19
LRMP	0.380124275628519	0.953766602690191	0.573642327061672	3.87324392839951e-21
CDC40	0.903640041190773	1.47258596997472	0.56894592878395	1.1489588711872e-19
SIVA1	1.01331656380021	1.58157291787172	0.56825635407151	7.31912601521884e-16
CARHSP1	0.532343406303388	1.09832422953522	0.56598082323183	1.32680827495677e-21
PSMD7	0.851975380594489	1.4175789425178	0.56560356192331	1.97383988160015e-19
ASXL1	0.403029268208052	0.96330096275495	0.560271694546897	9.86348162203656e-23
SHTN1	0.588127436625051	1.14499660356311	0.55686916693806	1.18466830465833e-17
RSRC1	0.559582063602452	1.10813201707314	0.548549953470687	3.47704930271279e-18
TUBA1A	0.594196224654304	1.13911076523783	0.544914540583523	3.88901534354369e-16
SMAD7	0.206533381417666	0.750735999859256	0.54420261844159	2.60808854257032e-26
DERL3	1.14551879162046	1.68918073634807	0.543661944727614	2.64501023291031e-09
