gene	HD.mean	Uninvolved.mean	HD.pct	Uninvolved.pct	avg_log2FC	p_val	p_val_adj
LYZ	2.7113810911361775	14.97630387788179	0.315	0.464	2.105905626772498	3.009935219038462e-5	0.5975022403313252
VCAN	0.12301180737124313	2.8971987844620757	0.039	0.14	1.7950644245997125	9.290311500896953e-5	1
S100A9	0.6383740766230389	2.9355801222705504	0.108	0.235	1.264311517757458	1.120486214120742e-4	1
F13A1	0.22350002048394071	1.432581694369201	0.069	0.413	0.9914741308566244	2.368215092509639e-18	4.701143780140884e-14
S100A8	0.5397229472930088	2.027310658821997	0.099	0.16	0.9753659498679026	0.02644505225609252	1
MS4A6A	2.5338992295617704	5.828456503359753	0.36	0.623	0.9502986087034533	3.558103155487974e-11	7.063190573959178e-7
TOP2A	0.3303158537471965	1.5199567474647029	0.074	0.134	0.921630149452882	0.019305201787043542	1
FCN1	0.07844562544812039	0.9634025944007762	0.03	0.101	0.8644025882463152	0.001232725976526713	1
TXN	11.467666359329309	20.922333530030123	0.916	0.951	0.8142099212339677	1.3124822010462453e-8	2.6054084172969015e-4
FGL2	0.1455357077930353	0.9992096830740359	0.054	0.2	0.8034073642090467	8.308641248964118e-7	0.01649348374331867
ANXA1	0.9379295174918422	2.335378230033577	0.207	0.427	0.7833342706209044	3.321905080433288e-8	6.59431377516812e-4
CPVL	0.14188160949140907	0.9577251708485859	0.044	0.235	0.7777651713549976	1.8225012634340644e-9	3.6178472580429614e-5
PRXL2A	0.9601396459743469	2.3588157897948823	0.335	0.504	0.7769962351333388	5.472672556391302e-7	0.010863802291692374
MNDA	0.07469309992774285	0.7760314111029678	0.025	0.121	0.7247323693344336	5.435268375502921e-5	1
DRD4	0.4269849235200933	1.3569629195021053	0.163	0.296	0.7239589693920541	4.135866595294639e-5	0.8210108778319388
IL6R	0.7135698905783999	1.7819458562413641	0.3	0.464	0.6990893060409352	4.262274735064525e-6	0.08461041576576588
ASPM	0.15523947434107535	0.873491529168612	0.074	0.113	0.6975375098297485	0.08967317147211336	1
TCL1A	4.778608349051537	8.334855564565066	0.35	0.615	0.6919056071036613	6.824206455404996e-9	1.3546732234624457e-4
IGLC2	0.13677233183564602	0.8360251697069239	0.059	0.13	0.6916424904762343	0.00455128188413914	1
CENPF	0.6285834727072086	1.6256671317641864	0.158	0.156	0.6890663638889555	0.8606579415718436	1
CTSG	0.13650655096700787	0.8214532849889594	0.064	0.119	0.6804839945423383	0.02210384221098266	1
HLA-DPA1	13.472125779074009	22.15790103803319	0.946	0.984	0.6782276459752943	2.7203536978880545e-20	5.400174125677576e-16
APLP2	1.0038246176766152	2.1658623645203954	0.335	0.571	0.6598422919257487	6.946116702430047e-8	0.0013788736265993888
HRH2	0.1360790540653375	0.7889530538490159	0.064	0.314	0.6550523000489533	4.173325884509979e-12	8.28446921334076e-8
SCARA5	0.34201370042230855	1.097127780581261	0.153	0.277	0.6440153694235502	1.884930879848778e-4	1
NOTCH2	0.6674278051163326	1.5796167434627155	0.276	0.52	0.6295324405896683	3.343623683422171e-9	6.637427373961352e-5
DTX4	0.40653043446929726	1.160882214461751	0.143	0.33	0.6194796658169632	9.338044539465078e-7	0.018536952215292127
NRP1	1.3592708774412374	2.609330105096269	0.355	0.628	0.6133900267193098	5.880998095418479e-10	1.1674369319215222e-5
CST3	18.91664310834796	29.227511160948843	0.97	0.931	0.6018876909553859	8.805085767556095e-6	0.17478975757175605
CLEC10A	0.02844240230510158	0.5528161365283853	0.015	0.077	0.5944260171152347	0.001365294342413259	1
SHTN1	1.0463186924167371	2.088292208697047	0.291	0.512	0.5937784172732681	3.23627141100337e-8	6.42432237798279e-4
MLEC	2.9715404402049037	4.96818324479585	0.685	0.874	0.5875931386124018	1.0945882572754415e-12	2.172867149517479e-8
LITAF	1.2860751623563214	2.4210845826732643	0.448	0.672	0.5815809358951884	3.753558533300724e-8	7.451189044455267e-4
HLA-DRB1	15.871880073941533	24.034123662494277	0.956	0.996	0.5692752081864612	1.7287529115714443e-18	3.431747404760474e-14
NBPF20	0.10915194702148566	0.6402581781202883	0.049	0.132	0.5644658948000085	0.0011279202594655165	1
MPO	0.3277112924596269	0.961793893534608	0.089	0.113	0.5632320093689192	0.3473680549524906	1
LST1	0.7231573496149308	1.536171883343991	0.276	0.395	0.5575980773431846	0.002834782726957373	1
ATP2B4	1.2946305215491742	2.364735078547235	0.394	0.656	0.552231047683891	1.1804973774164522e-9	2.3434053439093994e-5
PLAUR	0.29303706545589786	0.8783129631262926	0.123	0.336	0.5386738326018461	1.3324431665774866e-8	2.6450329299729686e-4
DMXL2	0.764270777267381	1.5539789730528495	0.246	0.429	0.5336746470984344	4.328320403166339e-6	0.085921488323255
SRPX	0.09164477290221286	0.5698149836394927	0.03	0.239	0.5240910630923378	1.0461274343658912e-10	2.0766675699597306e-6
FBP1	0.3258659696725151	0.898815877877932	0.163	0.366	0.5181650763587428	7.145523490228389e-8	0.0014184578680452374
CCR2	0.8311464535276203	1.6136436838529378	0.286	0.427	0.5133152917051953	6.210833626947972e-4	1
PAFAH2	0.31329620829670446	0.8740607095054801	0.143	0.277	0.5129753427505526	6.777344216498856e-5	1
MKI67	1.3682357508333387	2.376844629736653	0.138	0.168	0.5118630976511824	0.2691297435889864	1
TPX2	0.14755339597431422	0.6362689614046506	0.069	0.126	0.5118486263026826	0.01997794412329602	1
CAPN2	0.24515355631655597	0.7635506272663041	0.118	0.279	0.502159321609545	3.1815541026084995e-6	0.06315703049088132
S100A10	3.4760811901206763	5.335900120765342	0.325	0.423	0.5013133878198577	0.009366584739211307	1
BLOC1S1	0.9722159675888101	1.778012535968677	0.31	0.567	0.4942355668477013	3.049015272054414e-9	6.052600216555217e-5
CDK6	0.951679492717968	1.7477191918197965	0.34	0.52	0.49351842169257165	7.398522524038181e-6	0.14686807062468193
