HSPC	EarlyEry	LateEry	GMP	ProMono	Mono	ncMono	cDC	pDC	ProB	PreB	B	Plasma	CD4Naive	CD4Memory	CD8Naive	CD8Memory	CD8TermExh	GammaDeltaLike	NKT	NK	BPDCN
SPINK2	AHSP	HBA2	MPO	MPO	S100A9	LST1	CST3	IRF8	DNTT	IGHM	MS4A1	IGKC	CCR7	LTB	CD8B	GZMK	GZMK	KLRB1	GZMH	GNLY	TCL1A
AREG	BLVRB	HBA1	ELANE	LYZ	S100A8	FCGR3A	HLA-DRB1	APP	VPREB1	CD79B	IGHM	IGHA1	BCL11B	IL7R	NELL2	IL7R	DUSP2	DUSP2	CCL5	GZMB	IGLL1
CDK6	PRDX2	HBB	PRTN3	RNASE2	VCAN	AIF1	HLA-DRA	IRF7	IGLL1	VPREB1	CD79A	IGLC2	TCF7	TRAC	PIK3IP1	DUSP2	CCL4	CCL20	TRGC2	PRF1	PTGDS
AVP	CA1	HBM	AZU1	ELANE	FCN1	MS4A7	HLA-DQB1	TCF4	H4C3	JCHAIN	BANK1	IGLC3	LTB	ITGB1	CD8A	LTB	CCL5	IL7R	NKG7	NKG7	TCF4
NRIP1	FAM178B	HBD	CTSG	SRGN	S100A12	IFITM3	HLA-DPA1	SERPINF1	TUBA1B	AFF3	RALGPS2	IGHG1	TSHZ2	BCL11B	LEF1	IL32	RGS1	JUN	KLRG1	SPON2	CCDC50
RPL17	HBB	AHSP	PRSS57	RETN	CTSS	CDKN1C	HLA-DQA1	UGCG	VPREB3	VPREB3	IGHD	IGHG3	LEF1	CD52	CCR7	JUN	CD8A	CD69	CST7	KLRF1	SOX4
NPR3	HBD	CA1	RNASE2	S100A8	MNDA	SAT1	HLA-DPB1	LILRA4	STMN1	PCDH9	CD79B	IGHG2	MAL	MAL	OXNAD1	CD69	CMC1	SLC4A10	CD3G	FGFBP2	MZB1
MSI2	TMEM14C	SLC4A1	RPL17	CTSG	LYZ	C1QA	CLEC10A	ITM2C	CD79B	CD79A	TNFRSF13C	IGHGP	NOSIP	RCAN3	IL7R	TRAC	CD8B	IER2	CD3D	KLRD1	FCER1A
PRSS57	KCNH2	HEMGN	SERPINB1	AZU1	CD14	SERPINA1	CD74	SCT	IGHM	MME	CD37	IGHG4	PIK3IP1	IL32	TCF7	CD2	IL32	GZMK	FGFBP2	IL2RB	LAMP5
ANKRD28	APOC1	SLC25A37	CALR	APLP2	CYBB	COTL1	LYZ	BCL11A	MKI67	YBX3	HLA-DQA1	IGHM	IL7R	TCF7	TNFAIP3	JUNB	CD69	NFKBIA	GZMA	GZMA	STMN1
LRRC75A	ATP5IF1	GYPA	CAT	FOS	PSAP	FTL	SAMHD1	PPP1R14B	HMGB2	CD24	HLA-DRA	IGLL5	RCAN3	INPP4B	SARAF	TNFAIP3	CD3D	BTG2	CD8A	KLRB1	HES6
CD34	SYNGR1	CA2	SRGN	RPL17	THBS1	C1QB	CPVL	PLD4	HMGN2	H1-2	IGLC2	JCHAIN	LEPROTL1	TRBC2	RPL17	KLRB1	GZMA	MT2A	GZMM	HOPX	JCHAIN
