gene	healthy_bm	skin_only	bm_involvement	logFC.bm_involvement.healthy_bm	logFC.bm_involvement.skin_only	pval
TCL1A	0.119973629051359	1.41908988350355	2.71721382683437	2.59724019778301	1.29812394333082	1.30472201688018e-16
DYNLL1	0.398431192838849	1.83017172619138	2.16789373755795	1.7694625447191	0.337722011366568	9.18637735628066e-18
LAMP5	0.511191493634009	0.932672969917053	2.15006898930691	1.6388774956729	1.21739601938986	3.94962241315967e-10
IGLL1	0.479057964722754	0.755814002869623	2.07240766779448	1.59334970307173	1.31659366492486	2.6909530140665e-08
S100A11	0.168532588943077	0.857405924910831	1.73921847593139	1.57068588698832	0.881812551020564	3.96761380673782e-16
HES6	0.349687984586149	0.234334276383218	1.85804891088021	1.50836092629407	1.623714634497	8.2783212822174e-09
VAMP5	0.202270881897027	0.562060986305464	1.46770581192081	1.26543493002378	0.905644825615342	4.5231327840943e-10
S100A4	1.45583196147612	1.66409860666043	2.67197783790807	1.21614587643195	1.00787923124764	1.66120225429623e-07
PPIB	1.66451666300019	2.14719465491311	2.8511779156861	1.18666125268591	0.703983260772989	2.33888639099135e-08
PDLIM1	0.1609244474811	0.377286669015815	1.32648958191107	1.16556513442997	0.949202912895253	1.42185246898433e-08
MS4A6A	0.35066610123525	0.936003304785052	1.476355637249	1.12568953601375	0.540352332463944	2.16888717162116e-07
SH3BGRL3	1.42828815998245	1.87073503236083	2.5494428657271	1.12115470574465	0.678707833366264	3.30173350732887e-11
DERL3	0.638651909685497	0.966559825013812	1.74758949571936	1.10893758603387	0.781029670705551	4.02124034366386e-08
IFITM2	0.406904801668205	0.923199713041665	1.5021559218153	1.09525112014709	0.578956208773634	7.41687369228664e-10
ARPP21	0.0399807388331646	0.240951329250351	1.12953264247077	1.08955190363761	0.888581313220423	2.33297184482464e-09
SERPINB2	0.0279716991081421	0.325934178149622	1.11320030055832	1.08522860145018	0.787266122408698	8.2783212822174e-09
SEC61G	1.2612700151437	1.80688488130162	2.33530177381046	1.07403175866676	0.528416892508847	8.12850815388353e-09
