gene	H_mean	P_mean	M_mean	H_pct	P_pct	M_pct	HP_avg_log2FC	HP_p_val	HP_p_val_adj	HM_avg_log2FC	HM_p_val	HM_p_val_adj
LYZ	2.7113810911361775	15.118420904556595	0.09445032452748324	0.315	0.465	0.036	2.1186823600877362	2.557997452094836e-5	0.5077880742153459	-1.7612295510823923	2.643970341663578e-94	5.2485455252363685e-90
VCAN	0.12301180737124313	2.908583076227185	0.02787841920068609	0.039	0.141	0.01	1.799272605973896	7.538204470471944e-5	1	-0.1276662355817007	3.2144629869580066e-5	0.6381030475410339
S100A9	0.6383740766230389	2.946886875979481	0.11281671564284267	0.108	0.236	0.042	1.2684503764918649	9.34440316777993e-5	1	-0.5582155276212941	2.1050673239570707e-6	0.04178769144787181
F13A1	0.22350002048394071	1.4354333294702675	0.49041470766958	0.069	0.414	0.201	0.9931643640498928	1.9073020224452148e-18	3.786185244755996e-14	0.28599806903581787	5.324583396335752e-6	0.10569830500066102
S100A8	0.5397229472930088	2.0289608212676034	0.08604381021905673	0.099	0.162	0.036	0.9761521369612913	0.023099119895066394	1	-0.5034663913491854	1.4522005304266908e-6	0.02882763272950024
MS4A6A	2.5338992295617704	5.822427583291142	4.367904864670818	0.36	0.624	0.742	0.9490242745877706	3.3568735540012035e-11	6.663729692047789e-7	0.6025715551118187	4.26913223767391e-19	8.47465440500648e-15
TOP2A	0.3303158537471965	1.5226318673069905	1.3219253978500665	0.074	0.135	0.125	0.9231608642452813	0.016685206929607923	1	0.8042714097605015	0.02060130683078346	1
FCN1	0.07844562544812039	0.9672020660674354	0.023756054572135747	0.03	0.103	0.014	0.8671917166946151	0.001004966304776525	1	-0.07513555758499668	0.05653662064600635	1
TXN	11.467666359329309	20.885811929099553	4.678745343950655	0.916	0.952	0.863	0.8118044532917756	1.6393298365170114e-8	3.2542336584699195e-4	-1.1356085696311475	2.223062669987745e-27	4.413001706192673e-23
FGL2	0.1455357077930353	0.9971910776536843	0.09701072368032429	0.054	0.2	0.056	0.8019499366628711	8.706338123742353e-7	0.017282951809440943	-0.06147612525979251	0.9206856787527795	1
ANXA1	0.9379295174918422	2.342151773283599	0.0856796391444352	0.207	0.428	0.031	0.786261149452728	2.8183531718715094e-8	5.594712881482134e-4	-0.8360025142821678	4.807710062929704e-44	9.543785245921757e-40
CPVL	0.14188160949140907	0.9557903725236392	0.09723376819573157	0.044	0.234	0.047	0.7763386666458661	1.934483789033718e-9	3.8401437696108335e-5	-0.057748777790696176	0.8570865909714117	1
PRXL2A	0.9601396459743469	2.3540505053710543	0.7919937736969492	0.335	0.503	0.365	0.7749479734641247	6.142249230408015e-7	0.012192978947282952	-0.12869389069721082	0.9736067465570144	1
MNDA	0.07469309992774285	0.7802094104126527	0.019910788209388526	0.025	0.123	0.01	0.728122230685567	4.406986031060841e-5	0.8748307970258876	-0.07480493715692665	0.041138069825626844	1
DRD4	0.4269849235200933	1.354221580270788	0.03171672845333402	0.163	0.295	0.02	0.7222800213648806	4.390373837753134e-5	0.8715331105323747	-0.46799485463743795	7.348636987048806e-43	1.4587779282990584e-38
ASPM	0.15523947434107535	0.8774726393508916	0.7564590100876526	0.074	0.115	0.101	0.7005999384831939	0.07809529953380188	1	0.6042555798653526	0.15801751115403864	1
