HSC	Prog	EarlyE	LateE	ProMono	Mono	ncMono	cDC	pDC	ProB	PreB	B	Plasma	T	CTL	NK	Doublets
SPINK2	MPO	FAM178B	HBM	MPO	S100A9	FCGR3A	HLA-DPA1	IRF8	DNTT	IGHM	MS4A1	IGKC	LTB	CCL5	GNLY	HBA1
NRIP1	ELANE	KCNH2	HBA2	LYZ	S100A8	LST1	FCER1A	JCHAIN	VPREB1	CD79B	IGHM	IGLC2	IL7R	GZMK	NKG7	HBD
NPR3	CTSG	ATP5IF1	HBA1	RNASE2	S100A12	CDKN1C	HLA-DRB1	TCF4	IGLL1	TCL1A	CD79A	IGLC3	BCL11B	DUSP2	GZMB	HBB
AREG	PRTN3	REXO2	HBB	RETN	FCN1	AIF1	HLA-DRA	APP	VPREB3	IGLL1	BANK1	IGHG1	CD3D	IL32	FGFBP2	HBA2
CRHBP	AZU1	TMEM14C	HBD	SRGN	VCAN	S100A11	HLA-DPB1	CCDC50	AKAP12	VPREB1	RALGPS2	IGHA1	PIK3IP1	NKG7	CCL4	SLC25A37
AVP	SPINK2	SYNGR1	HEMGN	CTSG	CTSS	IFITM3	SAMHD1	UGCG	CD79B	SOX4	TNFRSF13C	IGHG3	ETS1	GZMA	PRF1	SNCA
TSC22D1	CDK6	BLVRB	CA1	ELANE	THBS1	COTL1	CD74	IRF4	MME	VPREB3	CD83	IGHG2	TCF7	CST7	KLRD1	GYPA
CDK6	PRSS57	APOC1	AHSP	LGALS1	G0S2	FCER1G	HLA-DQA1	ITM2C	TCF4	CD24	HLA-DPB1	IGHG4	CD3E	CD8A	GZMA	TSPO2
PCDH9	AREG	PRDX2	SLC4A1	AZU1	NAMPT	SERPINA1	HLA-DQB1	LILRA4	TOP2B	STMN1	IGHD	IGLL5	RCAN3	GZMH	MYOM2	GYPB
MSI2	CALR	AKR1C3	GYPA	MNDA	CD14	MS4A7	CST3	GZMB	SOCS2	AFF3	CD37	JCHAIN	CD3G	CD3D	SPON2	AHSP
LAPTM4B	NUCB2	HSPD1	CA2	GRN	TYMP	LILRB2	ANXA2	MAPKAPK2	SOX4	IRF4	CD74	MZB1	TRBC2	KLRB1	CST7	CA1
CD34	C1QTNF4	KLF1	PRDX2	MS4A3	TYROBP	FTL	FGL2	IRF7	CD9	CD81	HLA-DQB1	IGHA2	TRAC	GZMM	CCL5	SLC4A1
MSRB3	CPA3	HMGA1	SLC25A37	ENO1	CST3	CTSS	HLA-DRB5	TGFBI	MLXIP	CD79A	HLA-DRB1	SEC11C	SPOCK2	RUNX3	KLRB1	HBM
ANKRD28	SERPINB1	NME4	SNCA	S100A8	SLC11A1	IFITM2	CLEC10A	SERPINF1	EBF1	MME	HLA-DQA1	FKBP11	IL6ST	CD3E	CTSW	RHAG
LRRC75A	LRRC75A	RPL22L1	RHCE	PRTN3	PLAUR	TCF7L2	KCTD12	PLD4	STMN1	BCL7A	BIRC3	HERPUD1	TRBC1	RGS1	CLIC3	SLC2A1
EGFL7	EREG	TMEM14B	GYPB	ANXA2	MAFB	RHOC	HLA-DMB	SPIB	SMIM3	PTMA	HLA-DRA	IGKV4-1	CCR7	PIK3R1	KLRF1	HMBS
