HSC	Prog	GMP	ProMono	Mono	cDC	pDC	earlyEry	lateEry	ProB	B	Plasma	T	CTL	NK
JUN	CLC	ELANE	LYZ	S100A9	HLA-DRA	CCDC50	PDZD8	HBB	DNTT	MS4A1	IGLL5	IL7R	CCL5	GNLY
NRIP1	PRG2	MPO	RNASE2	S100A8	SAMHD1	UGCG	HBD	AHSP	MME	BIRC3	JCHAIN	ETS1	GZMA	PRF1
EGR1	SPINK2	CTSG	SRGN	THBS1	FCER1A	IRF8	APOC1	CA1	VPREB1	RALGPS2	ELK2AP	TXNIP	RGS1	GZMA
ZFAS1	CDK6	PRTN3	MPO	VCAN	CST3	IRF4	PRKAR2B	HBD	CD24	BANK1	SEC11C	LTB	DUSP2	KLRD1
APOOL	SMIM24	AZU1	CSTA	FCN1	CD74	TCF4	REXO2	HBA2	IGLL1	CD83	MZB1	CD3D	GZMK	CCL5
MEIS1	AREG	CALR	MNDA	S100A12	HLA-DRB1	JCHAIN	TMEM14C	HBA1	AKAP12	CD69	SSR4	CD3G	CMC1	SYNE1
GAS5	MSI2	MS4A3	LGALS1	MNDA	HLA-DPA1	GZMB	SLC40A1	CD36	EBF1	BTG1	HSP90B1	FYB1	CD8A	GZMB
HLF	FLT3	CPA3	MS4A6A	CTSS	S100A10	C12orf75	CA1	BLVRB	TOP2A	CD79A	TXNDC5	SYNE2	IL32	SYNE2
FOS	IGLL1	NUCB2	SERPINB10	CYBB	GPR183	RGS2	ZFP36L1	TFRC	MKI67	ANKRD36BP2	ANKRD36BP2	IFITM1	ETS1	KLRK1
PCDH9	FAM30A	PRSS57	MS4A3	NAMPT	NAPSB	MPEG1	EPCAM	CA2	HIST1H4C	LINC00926	HSP90B2P	CD2	CD3D	FGFBP2
NPR3	CD34	SERPINB1	ANXA2	PLBD1	ANXA2	PTPRS	MPC2	PRDX2	STMN1	CD74	UBE2J1	SLFN5	IKZF3	KLRB1
BEX1	NPR3	EREG	LYST	SAMSN1	COTL1	P2RY14	CENPU	ATPIF1	NUSAP1	PAX5	SEL1L	LEF1	CD2	NKG7
CRHBP	LOC101927497	SRGN	RNASE3	LYZ	HLA-DPB1	MAPKAPK2	NECAB1	HBE1	RAG1	CD52	ELL2	BCL11B	KLRK1	IFITM1
SPINK2	NREP	CST7	CFD	PSAP	FGL2	APP	CASP3	RHAG	HMGB1	EZR	SLAMF7	OXNAD1	PIK3R1	ARL4C
RNA5-8S	APOOL	CAT	RETN	TYROBP	LGALS1	PLAC8	TFRC	GYPA	TOP2B	ZFP36L1	FKBP11	TNFAIP3	SYNE2	KLRF1
SNORD13	LOC100506844	RNASE2	DBI	FGL2	KCTD12	RNASE6	TPM1	SPTA1	FAM111B	TTN	PRDX4	TCF7	CD96	ETS1
MSI2	SOX4	HSPA5	ANXA1	IFI30	CPVL	SEC61B	ANK1	REXO2	VPREB3	PELI1	ERLEC1	IL32	KIAA1551	SLFN5
FAM30A	ZFAS1	CLEC11A	CHML	CSTA	TMSB10	IRF7	CDK6	EPCAM	CD79B	FCRL1	DERL3	CCR7	PTPRC	CD247
ANGPT1	GAS5	HSP90B1	S100A8	S100A6	CTSH	IL16	PLIN2	HEMGN	CMTM8	HLA-DRA	XBP1	SARAF	CD3G	CMC1
MMRN1	DNTT	IGLL1	F13A1	C5AR1	OGFRL1	GPR183	HMGN5	HIST1H1B	HIST1H2AM	HLA-DQB1	HERPUD1	IL6ST	ZNF331	IL2RB
TFPI	LRRC75A-AS1	RNASE3	S100A9	FPR1	IGSF6	MAP1A	BLVRB	METAP2	PAX5	TXNIP	SELENOS	GIMAP7	ZFP36	PYHIN1
PRKG2	MSRB3	FAM46A	HMGB2	SAT1	HLA-DQB1	BLNK	MYB	TMEM56	RCSD1	CD37	PDIA4	CD52	TSPYL2	RUNX3
FOSB	NAP1L1	HGF	GPR183	MEGF9	MAP3K8	RUNX2	CDC42BPA	PRKAR2B	HIST1H1B	NFKBIA	SEL1L3	PIK3IP1	BTG1	MYBL1
PHLDB2	NRIP1	SUCNR1	MKI67	MS4A6A	IFI30	SPIB	CNRIP1	TMEM14C	HIST1H2AJ	CCR7	LMAN1	TRAT1	TNFAIP3	FCGR3A
TUBA1A	RPS2	FABP5	TMSB4X	CD14	ANXA5	CLEC4C	HBS1L	SLC4A1	RGS2	BCL2L11	FAM46C	LEPROTL1	YPEL5	SAMD3
GUCY1A3	RPLP0	P4HB	SLC44A1	S100A10	IL13RA1	PLEK	MIF	TMEM14B	ARPP21	POU2F2	SPCS3	SPOCK2	RUNX3	SPON2
TSC22D1	CPA3	MGST1	TNFSF13B	FCER1G	ACTB	CD74	HSPD1	ANK1	PIK3AP1	PARP15	TP53INP1	CD3E	SLFN5	GNG2
BEX2	ANGPT1	NCOA4	SAMHD1	FTL	CD86	CD2AP	LOC100506844	NFIA	SMC4	RAB30	MAN1A1	RORA	PARP8	JAK1
TMEM107	HOPX	XBP1	ANXA5	CLEC7A	C1orf162	RASD1	RIF1	HBM	CENPF	PARP14	ITM2C	CAMK4	CNOT6L	IL32
MYCT1	GUCY1A3	GLUL	IRS2	S100A4	DBI	GAPT	TMEM14B	HMGN5	HMGB2	SWAP70	HDLBP	RCAN3	CD3E	HLA-C
CEP70	PRDX1	SMIM24	MXD1	MXD1	HLA-DQA1	SLC15A4	UROD	UBAC1	TCF3	SMIM14	FCRL5	RIPOR2	CRTAM	CTSW
H3F3B	TSC22D1	ERLIN1	PKM	LGALS1	DPYSL2	ITM2C	HMGA1	SYNGR1	TP53INP1	SMAP2	SPCS2	KIAA1551	MYBL1	RNF213
PBX1	BCL11A	PDIA6	IRF8	PTPRE	IQGAP1	ZDHHC17	SMIM10	ADD2	TCF4	AKAP2	RAB30	CYLD	CALM1	TXK
MSRB3	PROM1	PDIA3	SERPINB8	CTSH	PAK1	BCL11A	SNHG3	CKS2	IRF4	LTB	PIM2	CD96	KLRD1	TXNIP
ST8SIA6	ETV6	AREG	CD63	PLAUR	RNASE6	SMIM14	PAICS	DLGAP5	TUBB	PRDM2	SSR3	CD48	IFITM1	CST7
