CD4Naive	CD4Memory	CD8Naive	CD8Memory	CD8TermExh	GammaDeltaLike	NKT	NK
SOCS3	LTB	CD8B	IL7R	GZMK	CCL20	GZMH	GNLY
MAL	ITGB1	NELL2	KLRB1	RGS1	KLRB1	GNLY	TYROBP
LTB	GPR183	RPL17	GZMK	DUSP2	SLC4A10	NKG7	GZMB
FHIT	VIM	CCR7	JUN	CCL4	CEBPD	FGFBP2	FCER1G
CCR7	BIRC3	PDE3B	FOS	CCL5	MT2A	ZEB2	PRF1
NOSIP	IL7R	LEF1	NFKBIA	HLA-DRB1	TNF	CCL5	FGFBP2
TSHZ2	CD4	ACTN1	LYAR	CRTAM	IER2	CST7	CLIC3
LEF1	PLP2	AIF1	TNFAIP3	CD8A	NFKBIA	PLEK	NKG7
GPR183	S100A11	S100B	DUSP1	TUBA4A	DUSP1	LGALS1	CCL3
KLF2	LMNA	OXNAD1	IER5	CMC1	MT1X	KLRG1	SPON2
RPL23	CORO1B	ABLIM1	KLF6	CCL4L2	EGR1	TRGC2	KLRF1
IL6ST	CD52	TRABD2A	TNF	CD8B	FOS	HLA-DPB1	KLRD1
EIF3E	TRADD	PGGHG	CD69	CD74	JUN	GZMA	PTGDS
SELL	ARID5B	CD55	BHLHE40	TRGC2	NCR3	C12orf75	FCGR3A
RPS13	MAL	CD8A	DUSP2	HLA-DPB1	CCL3L3	S100A4	TRDC
TRABD2A	CRIP1	RPL4	ZFP36L2	HLA-DPA1	IER5	GZMB	EFHD2
RPS8	RNASET2	SATB1	IL32	CXCR4	BTG2	EFHD2	IL2RB
RGS10	AHNAK	TGFBR2	S100A4	SH2D1A	TMEM107	SH3BGRL3	CCL4
TCF7	GSTK1	TOB1	CXCR4	XCL2	FOSB	ADGRG1	HOPX
BCL11B	PAG1	TTN	ID2	IFRD1	CD69	FLNA	CTSW
ADTRP	RCAN3	NDFIP1	LGALS3	CEMIP2	IER3	APOBEC3G	CST7
RPS6	AP3M2	IL6ST	JAML	XCL1	DUSP2	SYNE1	GZMA
RPL7	TIMP1	RGS10	IER2	KLRG1	ZFP36L1	LYAR	CD247
RPL9	TMEM123	RPS5	ANXA1	SRSF7	IL7R	C1orf21	IFITM2
RPL32	CCR4	RPLP0	PHACTR2	SRGN	PMAIP1	CMC1	IGFBP7
RCAN3	AQP3	ARMH1	BTG2	MAF	JAML	CD52	XCL2
RPS3A	INPP4B	SELL	ZFP36L1	CST7	ID2	CD99	PLAC8
AIF1	CD40LG	TCF7	PMAIP1	TSPYL2	MT1E	HLA-DPA1	KLRB1
SESN3	CDC14A	RPL36A	EML4	HLA-DRA	KLRG1	GZMM	MYOM2
RPL22	COTL1	PASK	JUND	NR4A2	PPP1R15A	S100A10	CD160
RPL13	S100A10	ITK	GBP5	H1-2	TLE1	SAMD3	KLRC1
RPL21	TBC1D4	KLRK1	AHNAK	IL32	PARP8	PPP2R5C	ADGRG1
JUNB	SESN3	RPS10	MAF	ZFP36	GPR171	CD8A	PTPN12
EEF1B2	TNFRSF4	RCAN3	FOSB	LYST	GZMK	IL32	MAP3K8
RPS16	LPAR6	TMEM123	ERN1	YPEL5	ZBTB16	PATL2	CD7
RPS12	ANXA1	SARAF	RORA	GZMA	NRIP1	CYBA	AREG
AP3M2	KLF6	RPL31	CD2	DTHD1	LTK	CD3G	CD63
RPS5	TRAT1	YBX3	S100A11	PIK3R1	GBP5	CTSW	PLEK
RPL11	CD28	EIF4B	CD40LG	ZNF331	MYBL1	MT1E	SYNE1
LEPROTL1	PBXIP1	ITGA6	CEBPD	ARAP2	PHACTR2	MYO1F	XCL1
RPL18A	ICOS	CARS1	NFKBIZ	HLA-DQB1	ODF2L	ANXA2	ABHD17A
SH3YL1	LIMS1	EEF1A1	PARP8	RUNX3	RORA	CD3D	ITGB2
RPL30	FXYD5	MAML2	CDC14A	ENC1	CXCR6	HCST	MATK
RPL5	TAB2	PABPC1	EMB	DUSP1	TNFAIP3	CTSC	ZEB2
RPL18	MAP3K1	EIF3E	JUNB	HCST	ABCB1	S100A6	GSTP1
RPS23	GATA3	EEF1B2	BORCS5	CD160	MAF	ITGB1	AKR1C3
RPL36	ARHGAP15	EEF2	DUSP16	METRNL	INTS6	EMP3	SAMD3
RPL35A	NPDC1	NUCB2	DPP4	HSPA5	ZFP36	TGFBR3	GNPTAB
RPS25	RTKN2	NOSIP	SPOCK2	REL	IL23R	FCRL6	CEP78
RPL29	IL6R	FKBP5	CCR6	IFNG	AQP3	PAXX	METRNL
