Sample_ID	Cell_number	UMIs_mean	UMIs_min	UMIs_max	Genes_mean	Genes_min	Genes_max
BM1	3684	6631.60694896853	2006	92616	1773.92833876221	1001	7250
BM2	4659	12644.2410388495	2004	85935	2202.56342562782	1001	7178
BM3	1440	12837.6652777778	2013	97323	2466.55902777778	1002	7535
BM4	5632	8315.49200994306	2004	97718	2068.22212357955	1002	7013
BM5	2522	11040.9365582872	2005	155281	2528.30174464711	1002	8346
BM6	2474	8448.38358932888	2001	54275	2567.23645917542	1002	7482
Pt1Dx	2473	5831.09704811972	2040	98528	1992.57015770319	1011	7781
Pt1Rem	10312	4883.88033359199	2008	56686	1815.343386346	1001	6644
Pt5Dx	4145	5795.09577804588	2001	78693	1972.71194209891	1003	7390
Pt9Dx	4593	6479.67406923574	2001	71457	2368.2719355541	1008	7791
Pt10Dx	10106	5613.82792400546	2006	108382	1899.13734415199	1006	8508
Pt10Rel	7498	8470.22512670043	2002	71353	2412.09909309149	1003	6918
Pt12Dx	6862	7897.9670649958	2025	64993	2322.98396968814	1001	7268
Pt12Rel	5315	7315.92342427093	2019	55994	2458.66585136406	1001	6564
Pt14Dx	7374	6711.48820179012	2024	56539	2059.97708163819	1001	6821
Pt15Dx	3470	7057.78616714702	2006	53288	2763.78040345821	1002	7952
Pt16Dx	4452	13614.8560197664	2005	49608	3336.22911051213	1022	6738
