HSPC	EarlyEry	LateEry	GMP	ProMono	Mono	ncMono	cDC	pDC
SPINK2	FAM178B	HBM	PRTN3	MPO	S100A9	FCGR3A	HLA-DPB1	GZMB
AREG	REXO2	HBA2	ELANE	RNASE2	S100A12	CDKN1C	HLA-DPA1	JCHAIN
AVP	APOC1	HBA1	CTSG	LYZ	S100A8	LST1	HLA-DQA1	TCF4
CDK6	SYNGR1	HBB	AZU1	RETN	FCN1	IFITM2	FCER1A	IRF8
MSI2	ATP5IF1	HBD	MPO	SRGN	VCAN	IFITM3	HLA-DRB1	CCDC50
NRIP1	KCNH2	SLC4A1	PRSS57	AZU1	CTSS	MS4A7	HLA-DRA	IRF7
NPR3	TMEM14C	HEMGN	IGLL1	ELANE	CD14	AIF1	CD74	UGCG
CRHBP	AKR1C3	GYPA	CALR	PRTN3	CXCL8	SAT1	HLA-DQB1	IRF4
TSC22D1	RPL22L1	CA1	CST7	ENO1	THBS1	TCF7L2	SAMHD1	ITM2C
CD34	HSPD1	AHSP	NUCB2	MS4A3	TYROBP	FCER1G	HLA-DRB5	PTGDS
HOPX	NPM1	SLC25A37	CLEC11A	LGALS1	NAMPT	SERPINA1	ARL4C	LILRA4
RPL17	MPC2	CA2	MS4A3	CTSG	TYMP	LILRB2	CST3	PPP1R14B
LAPTM4B	EPCAM	ALAS2	RNASE2	SLC44A1	S100A11	RHOC	GPR183	C12orf75
IGLL1	LMNA	GYPB	CPA3	PKM	SLC2A3	S100A11	HLA-DMA	SERPINF1
RPS4X	NME4	SPTA1	RPL17	FAM107B	G0S2	MTSS1	CLEC10A	PLD4
EGFL7	PRDX2	SNCA	SERPINB1	SERPINB10	SLC11A1	LYPD2	HLA-DMB	MZB1
SMIM24	MAP2K2	RHCE	RNASE3	LYST	MAFB	COTL1	AREG	APP
SOX4	HSPE1	PRDX2	EREG	ANXA2	SERPINA1	CD52	S100A10	SCT
SEPTIN6	HMGA1	HMBS	C1QTNF4	HSP90B1	C5AR1	MT2A	ANXA2	CLIC3
RPL3	ATP5MC1	TSPO2	SRGN	LMNB1	NCF1	TXNIP	TMSB10	PLAC8
SPTBN1	TMEM14B	MGST3	P4HB	EMB	PLBD1	TNFRSF1B	CIITA	IL3RA
CD69	KLF1	CENPF	HSP90B1	PLAC8	PLAUR	HMOX1	RGS1	IGKC
MACF1	BLVRB	SLC25A39	SMIM24	GRN	SAT1	TIMP1	BASP1	SPIB
HINT1	PCLAF	H4C3	HSPA5	HMGN2	CYBB	KLF2	GSTP1	TPM2
HSP90AB1	RPS5	GYPC	MYB	RNASE3	IER3	POU2F2	SLC38A1	SMPD3
TSC22D3	METAP2	RHAG	ANKRD28	FLNA	FOS	CSF1R	DDIT4	SEC61B
NPM1	RPL14	HAGH	LRRC75A	CLEC11A	MNDA	CFD	VIM	BCL11A
RPL5	ALDH1A1	H3C2	IGFBP7	RFLNB	PSAP	FTL	CRYBG1	MAPKAPK2
CAVIN2	GADD45GIP1	UBE2S	ERLIN1	ANXA6	DUSP1	LYN	MAP3K8	CLEC4C
ANKRD28	CCT6A	EPB42	HGF	STMN1	CEBPB	PECAM1	DBI	NIBAN3
EIF3E	RAN	BLVRB	XBP1	SYK	FTL	CYTIP	IRF8	TCL1A
EBPL	EEF1B2	UROD	CANX	TPM3	NFKBIA	CTSS	TMSB4X	BTG2
RPL31	IGLC2	RAD23A	CDK6	SAMHD1	FGL2	TMSB4X	EZR	ALOX5AP
RPL10A	HMGB1	SOX6	GLUL	MNDA	SH3BGRL3	LRRC25	BHLHE40	DERL3
LRRC75A	RPSA	SELENBP1	RPL31	CSTA	CLEC7A	WARS1	CORO1A	GPR183
MSRB3	C1QBP	H1-0	NAP1L1	ACTR2	S100A10	BCL2A1	ALDH2	SLC15A4
PCDH9	RPS2	ANK1	GPI	CHML	CTSD	PTPRC	IL13RA1	RASD1
NOP53	EIF5A	SLC2A1	PDIA3	NKG7	NCF2	RHOB	CD1C	CD74
EEF2	HEBP1	MYL4	TENT5A	MS4A6A	FYB1	CEBPB	ACTG1	SPCS1
RPS18	PA2G4	ABCB10	NME2	SERPINB8	CEBPD	C5AR1	CXCR4	SOX4
PRDX1	CDK4	FAM210B	PLPPR3	ACTG1	RGS2	LY6E	FLT3	RGS1
RPS3A	HMGN5	H1-5	PDIA6	ANXA1	FPR1	SPI1	LSP1	TSPYL2
EEF1A1	TIMM13	MKI67	MGST1	VIM	ITGB2	ASAH1	LGALS1	SEL1L3
BEX2	TYMS	PTTG1	VAMP8	IGFBP7	JUNB	RRAS	ENHO	LDLRAD4
RPS6	DUT	SMIM1	CAT	P4HB	CD68	RNASET2	C1orf162	MAP1A
PRSS57	RPL7A	DMTN	ENO1	LCP1	BRI3	HES4	AHNAK	P2RY14
EEF1B2	MYC	FECH	KBTBD11	TPM4	COTL1	TYROBP	PAK1	RUNX2
RPS3	HNRNPAB	TFRC	PDIA4	GRK2	LAPTM5	NR4A1	STK17B	SELENOS
ANGPT1	GLRX5	AQP1	MLEC	H2AZ1	FCER1G	PILRA	LCP1	RRBP1
RPL34	SNRPD1	OSBP2	CD38	DBI	LGALS2	SIGLEC10	GRASP	GAPT
