pDC	cDC	ncMono	Mono	ProMono	Prog	HSC	EarlyE	LateE
JCHAIN	HLA-DPA1	FCGR3A	S100A9	MPO	ELANE	NRIP1	FAM178B	HBM
TCF4	HLA-DPB1	LST1	S100A12	LYZ	MPO	NPR3	REXO2	HBA2
GZMB	HLA-DRA	CDKN1C	S100A8	RNASE2	CTSG	SPINK2	KCNH2	HBA1
IRF8	HLA-DRB1	IFITM3	FCN1	RETN	IGLL1	CRHBP	ATP5IF1	HBB
IRF4	FCER1A	IFITM2	CTSS	SRGN	PRTN3	MSI2	SYNGR1	HBD
CCDC50	CD74	S100A11	G0S2	AZU1	SPINK2	AVP	APOC1	HEMGN
ITM2C	HLA-DQA1	AIF1	VCAN	CTSG	AZU1	PCDH9	TMEM14C	SLC4A1
UGCG	HLA-DQB1	MS4A7	CD14	ELANE	CDK6	AREG	AKR1C3	GYPA
APP	SAMHD1	FCER1G	TYROBP	MS4A3	DNTT	SPTBN1	RPL22L1	CA1
MAPKAPK2	ARL4C	RHOC	THBS1	LGALS1	PRSS57	TSC22D1	HSPD1	AHSP
LILRA4	CST3	COTL1	NAMPT	ENO1	CALR	HOPX	MAP2K2	SNCA
IRF7	HLA-DRB5	LILRB2	TYMP	SLC44A1	NUCB2	CDK6	EPCAM	CA2
SPIB	CLEC10A	CD52	CEBPB	PRTN3	C1QTNF4	CD34	HMGA1	RHCE
SERPINF1	ANXA2	SERPINA1	SLC11A1	FAM107B	RPL17	MACF1	HSPE1	SLC25A37
PLD4	HLA-DMB	TCF7L2	MAFB	MNDA	CPA3	LAPTM4B	NPM1	TSPO2
LDLRAD4	CIITA	MTSS1	SLC2A3	PKM	AREG	ABLIM1	ATP5MC1	UBE2S
PLAC8	HLA-DMA	LYPD2	PLAUR	GRN	MSI2	MSRB3	MPC2	GYPB
SLC15A4	BHLHE40	POU2F2	S100A11	ANXA2	SMIM24	EGFL7	ALDH1A1	MGST3
RGS1	RGS1	FTL	C5AR1	LYST	NAP1L1	ANKRD28	HSP90AA1	PRDX2
NIBAN3	FGL2	KLF2	FTL	HSP90B1	LRRC75A	NOP53	RPS5	SLC25A39
SMPD3	AHNAK	TXNIP	S100A10	ANXA1	NREP	EEF2	TMEM14B	HAGH
TGFBI	S100A10	TNFRSF1B	SH3BGRL3	PLAC8	RPL31	EIF3E	RPL14	HMBS
SEL1L3	KCTD12	CYTIP	SERPINA1	MS4A6A	CLEC11A	HLF	GADD45GIP1	RAD23A
SOX4	LCP1	CSF1R	PSAP	ACTR2	PIK3R1	RPL31	PCLAF	GYPC
IGKC	IRF8	LYN	PLBD1	AREG	MACF1	ZFP36L2	KLF1	SELENBP1
SLC38A1	GPR183	SPI1	COTL1	LCP1	SOX4	TNFAIP3	METAP2	PTTG1
MZB1	SLC38A1	CTSS	CXCL8	CHML	ITM2C	LRRC75A	NME4	SPTA1
C12orf75	MAP3K8	C5AR1	NCF1	VIM	FLT3	RPL17	RPSA	EPB42
PPP1R14B	EZR	HES4	LGALS2	SYK	IGFBP7	SORL1	RPS2	H4C3
TPM2	JAML	PECAM1	CST3	SAMHD1	SERPINB1	MAFF	TYMS	BLVRB
LGMN	TMSB10	PTPRC	CD68	RFLNB	STMN1	GUCY1A1	LMNA	UROD
CD74	CRYBG1	TYROBP	LAPTM5	LMNB1	CD34	CAVIN2	RPL7A	SLC2A1
CXXC5	VIM	WARS1	FOS	EMB	TOP2B	MEIS1	RPL36	SMIM1
BCL11A	DDIT4	LRRC25	DUSP1	HSPA5	NME2	MMRN1	NFIA	RHAG
MAP1A	OGFRL1	MT2A	BRI3	ACTG1	HSP90AB1	PROM1	DUT	PTMS
SCT	CORO1A	RNASET2	CTSD	CXCR4	HNRNPA1	PRKG2	HSPA8	TUBB4B
CSF2RB	CXCR4	LSP1	JUNB	SERPINB10	ANKRD28	TAF1D	CCT6A	MYL4
P2RY14	ACTR2	PILRA	CEBPD	F13A1	EREG	ANGPT1	EIF5A	FAM210B
MPEG1	C1orf162	B2M	CLEC7A	RNASE3	ENO1	HSP90AB1	H1-3	CENPF
ETS1	ALDH2	CFD	HIF1A	TPM3	RPLP0	RPL5	EEF1B2	UCP2
RRBP1	SULF2	RRAS	BTG1	LDHA	MYB	ITGA9	RAN	HMGB2
RUNX2	HLA-DOA	S100A4	CD52	S100A8	NPM1	CD164	HEBP1	OSBP2
CYFIP2	CCDC88A	RNF149	FPR1	IRS2	BCL2	PTGER4	PA2G4	GLRX5
PRKCB	SH3BP4	CLEC7A	CYBA	IRF8	KIT	ZBTB20	CDK4	DMTN
IL16	FLT3	LILRA5	APOBEC3A	CES1	FABP5	HINT1	C1QBP	SOX6
ZDHHC17	CD86	CD48	CSF3R	ANXA6	EEF1A1	ERG	BLVRB	H3C2
UBE2J1	CD1C	RHOB	LST1	IQGAP1	EEF2	RPL3	RPS3	CDKN3
CXCR4	STK17B	CSTB	NFKBIA	CLEC11A	XBP1	EIF4A2	HMGB1	AQP1
HSP90B1	PAK1	SIGLEC10	NCF2	PDIA3	ADA	ZKSCAN1	SNRPD1	BSG
CD2AP	ANXA5	LY6E	FCER1G	MYADM	HSPA5	MDK	NASP	ABCB10
