gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGLL1	6.706760309715222e-98	3.221128200930275	0.957	0.187	1.3313589890815687e-93
HES6	2.2133675664380317e-108	2.960598982462668	0.96	0.114	4.393755956136137e-104
SERPINB2	1.3930278382534054e-64	2.5029980635893763	0.663	0.047	2.765299561716835e-60
ARPP21	7.8881114290292575e-81	2.342388971777785	0.833	0.125	1.565868999776598e-76
PDLIM1	3.724066787472567e-82	2.2159989675904215	0.843	0.127	7.392644979811793e-78
TCL1A	2.8162083797938625e-70	2.0517708235864505	0.98	0.442	5.590455254728796e-66
SCN3A	5.729467627970005e-88	2.041033172285406	0.767	0.018	1.1373566188283257e-83
PTGDS	1.4999335737750766e-30	1.9995577716713369	0.617	0.203	2.9775181373009044e-26
LAMP5	1.345200391226295e-65	1.7031083751142166	0.957	0.501	2.670357296623318e-61
VAMP5	9.351159867423805e-42	1.6807492214332567	0.767	0.338	1.8562987452822995e-37
PLVAP	4.371372225171724e-68	1.6660958997888273	0.777	0.127	8.67761100418839e-64
TNNI2	1.116623742418923e-50	1.6598328029984986	0.843	0.358	2.2166097910758042e-46
FCER1A	9.365262640876498e-57	1.659734120084639	0.957	0.636	1.8590982868403935e-52
GXYLT2	4.0394055217035655e-61	1.6364133197143849	0.663	0.07	8.018623901133748e-57
VPREB1	1.569305739435686e-38	1.6342542569850498	0.417	0.023	3.11522882335378e-34
WASF1	7.22060347888401e-55	1.6203892297587172	0.813	0.257	1.4333619965932648e-50
IGFBP7	1.155359193063335e-32	1.5999774202359476	0.563	0.153	2.293503534150026e-28
TRDC	6.795455723377526e-39	1.5814943157076546	0.483	0.06	1.3489659156476727e-34
NUCB2	1.3484637651407539e-79	1.5744853220623045	0.997	0.875	2.6768354201809103e-75
SERHL2	2.2219620895180764e-64	1.5635503100261077	0.67	0.052	4.4108169439023336e-60
HMSD	3.5907735946911436e-58	1.500991672970582	0.65	0.07	7.128044662821389e-54
MYBPH	3.925902095105049e-39	1.4915902496877125	0.487	0.057	7.793308248993032e-35
TFDP2	4.710424121879585e-47	1.4881377196031678	0.813	0.371	9.350662924343164e-43
DNTT	3.59759059572602e-17	1.481295492509994	0.287	0.052	7.141577091575722e-13
CLEC11A	6.610657355856902e-40	1.4406137485065538	0.587	0.135	1.3122815917111538e-35
MARCKSL1	2.721935398295811e-44	1.436251975126889	0.783	0.296	5.4033139591570145e-40
VIPR2	2.5920453416997792e-42	1.415638357113976	0.62	0.125	5.145469207808232e-38
SOX4	5.145519843001648e-42	1.414740130804784	0.993	0.74	1.0214371440342571e-37
FYB1	5.828170451326377e-52	1.353220552513256	0.957	0.683	1.1569501162927992e-47
S100A13	2.2778217114232176e-31	1.3419079270748326	0.517	0.125	4.521703879346229e-27
MPPED2	3.7564321853205195e-48	1.3386229926116104	0.53	0.044	7.456893531079763e-44
RAMP1	7.347612632705968e-47	1.3118575381947073	0.513	0.036	1.4585745837184615e-42
GSTP1	6.352030200032632e-56	1.2975820298781535	0.997	0.821	1.2609415150084777e-51
CEP70	9.006743762106156e-52	1.2888732777730243	0.557	0.039	1.787928704215693e-47
CHCHD7	1.7014734664200122e-43	1.2580662346824387	0.85	0.475	3.377594978190366e-39
NTM	4.166852667025244e-40	1.2350222005722964	0.517	0.057	8.271619229311812e-36
LAT2	7.15439013201637e-36	1.2074660298038176	0.673	0.21	1.4202179851065694e-31
KDM5B	1.0845325684675106e-30	1.2034973166471423	0.687	0.265	2.1529056016648553e-26
BCL2	1.4256840916236236e-35	1.1634738647342755	0.7	0.229	2.8301254902820553e-31
AFF3	3.182498896078509e-32	1.1330620075649254	0.96	0.743	6.317578558605448e-28
S100A4	4.917822514795098e-39	1.11960513455261	0.983	0.688	9.762369474119748e-35
CD7	1.8136356412506617e-22	1.1173705695112053	0.473	0.145	3.600248111446689e-18
GLUL	1.035439445243415e-39	1.1165160877370255	0.937	0.61	2.0554508427527033e-35
MS4A4E	7.948586058291322e-40	1.1123098761529917	0.523	0.075	1.5778738184314103e-35
CSMD1	2.1069892187070263e-35	1.0990530719813294	0.367	0.008	4.182584298055318e-31
SUSD1	1.9219225387744714e-37	1.0986700284354498	0.807	0.366	3.815208431721203e-33
PLPP1	6.39977079088102e-39	1.0827095914781522	0.543	0.088	1.2704184996977913e-34
FHIT	1.5127994499649241e-38	1.0788609029278242	0.567	0.106	3.003058188125371e-34
PRDX2	2.6823762962132895e-27	1.078372696394567	0.72	0.361	5.324785185613002e-23
CADM1	1.1061871868551038e-41	1.0722549423651155	0.443	0.021	2.1958921846260663e-37
IFITM2	5.252000450471321e-31	1.0615231439933361	0.893	0.561	1.042574609423062e-26
STMN1	2.3661931436527883e-37	1.0608903459025218	1	0.826	4.69713000946515e-33
RCAN1	5.955405443746373e-30	1.0578920125750546	0.597	0.2	1.1822075346380924e-25
MYB	5.281922094533035e-28	1.0533762406299663	0.677	0.273	1.0485143549857528e-23
ICAM2	1.3840367202655735e-36	1.047431250242017	0.593	0.153	2.74745129339919e-32
SMIM24	2.1532412607720974e-25	1.043160555310662	0.36	0.055	4.27439922675869e-21
ADAMTS18	6.1496710038490425e-37	1.0376985023172771	0.37	0.005	1.2207711909740734e-32
MDK	1.2948313978511884e-12	1.0278957089410263	0.213	0.042	2.570369807874394e-8
ARMH1	2.9360737425846016e-30	1.0217000582852578	0.793	0.4	5.828399986404692e-26
NCAM1	9.618895437405744e-31	0.9909469794218261	0.447	0.062	1.909446933279414e-26
CDKN2A	3.75254881412408e-41	0.9904187413131248	0.417	0.01	7.449184650917712e-37
MRPL57	6.65458516448219e-34	0.9877534727065551	0.897	0.564	1.3210017010013596e-29
STXBP2	7.907320845230755e-21	0.9851618065442548	0.56	0.239	1.5696822609867573e-16
SSBP2	1.115785885611339e-19	0.9792804683992835	0.477	0.179	2.214946561527069e-15
LRMP	3.976092179441057e-23	0.9765031079366725	0.673	0.34	7.892940585408442e-19
CNTN4	2.2320174692820722e-34	0.9613999439037199	0.347	0.005	4.4307778782718414e-30
CDH11	2.8613515402707324e-29	0.95685015609743	0.297	0.003	5.68006894259143e-25
CCDC189	9.846190337976579e-30	0.948776525131774	0.67	0.257	1.9545672439917307e-25
RBP4	2.325472559366759e-17	0.9457501528087382	0.18	0.003	4.616295577598953e-13
PTMA	2.0608586971437844e-61	0.9386859861450967	1	0.995	4.0910105997001263e-57
CALCOCO2	5.687790177737177e-24	0.923352311837347	0.743	0.405	1.129083228182607e-19
MIF	1.6305980899729528e-21	0.9227304284772742	0.72	0.416	3.2369002684053086e-17
SIT1	1.3219320864441985e-31	0.9214390229223763	0.53	0.112	2.6241673848003785e-27
CCND3	3.1287551624125582e-22	0.9055174950698133	0.77	0.506	6.2108918729051696e-18
ASXL1	8.842842133087638e-25	0.9040363527339644	0.713	0.369	1.7553925918392272e-20
SMAD7	1.7848949784905028e-28	0.8867841565669452	0.57	0.164	3.543195021801497e-24
MAGEF1	8.48004646704231e-28	0.8851805102963028	0.463	0.101	1.6833740241725688e-23
KLHL4	1.148044768555842e-30	0.8711518874516276	0.313	0.005	2.278983670060202e-26
GPR160	1.6607912114949573e-26	0.8654537156564504	0.5	0.135	3.2968366339386396e-22
ADAM10	4.3869681446377756e-23	0.8628356134794668	0.833	0.561	8.708570463920448e-19
MZB1	2.7445746754005834e-27	0.862465088502856	0.977	0.805	5.448255188137698e-23
PDE7A	1.4105083171621568e-22	0.8481823113321247	0.663	0.312	2.8000000603985976e-18
MT2A	5.685796619558871e-8	0.844255406626953	0.347	0.182	0.0011286874869486316
TLE1	2.8077621841994187e-19	0.8369000986655393	0.43	0.13	5.573688711854266e-15
REXO2	2.923708598989704e-20	0.8330024171082787	0.667	0.353	5.803853939854462e-16
SMOC1	1.1329104711286486e-24	0.8326800401678465	0.43	0.094	2.2489405762374802e-20
ZNF385B	7.940023580080497e-31	0.8316995517374178	0.317	0.005	1.5761740808817795e-26
ZFP36L1	3.6419808719907156e-17	0.8301840287632976	0.453	0.158	7.229696228988769e-13
SCPEP1	6.437466302715052e-23	0.8180426381194728	0.63	0.288	1.2779014357519649e-18
TCEAL4	8.187773675513706e-27	0.8169800301722008	0.497	0.132	1.6253549523262258e-22
CKS2	2.941505220037784e-14	0.8153095513992062	0.52	0.247	5.839182012297006e-10
RBBP4	2.096477824827197e-29	0.8116496663407533	0.937	0.709	4.1617181300644685e-25
PTGER4	5.166902017404672e-16	0.8089101506079323	0.52	0.239	1.0256817194750014e-11
PRDX1	3.2255825941828796e-23	0.8083657525701156	0.823	0.535	6.403104007712435e-19
GLRX3	6.0719238510754e-24	0.802612489347582	0.65	0.306	1.2053376036769778e-19
RSRC1	4.901944678064848e-20	0.7977913555595251	0.757	0.444	9.73085038042653e-16
JPT1	3.16536877393877e-15	0.7925437624735377	0.61	0.361	6.283573553145853e-11
CARHSP1	1.3092678439903734e-23	0.7913832630867397	0.77	0.434	2.59902759710529e-19
DAPL1	1.5166538545170556e-21	0.7878198661083696	0.307	0.042	3.010709566601807e-17
PALM2AKAP2	3.137349684426209e-19	0.7846763371044889	0.627	0.314	6.227952858554468e-15
ADA	1.3257186431952442e-23	0.7820146150901901	0.84	0.584	2.6316840786068794e-19
SESN3	6.526447133782964e-22	0.7771046022196584	0.457	0.13	1.2955650205272562e-17
IL7R	1.3417761571787829e-20	0.7764581053844954	0.38	0.081	2.6635598496156018e-16
PDZRN3	6.189791625490307e-28	0.7747068416590529	0.32	0.018	1.2287355355760808e-23
NDUFS5	1.2021975859176059e-27	0.7673825100637672	0.917	0.725	2.3864824278050395e-23
PXDN	6.376692255371368e-23	0.7617578391287901	0.33	0.044	1.2658371796137701e-18
FABP5	1.5999259374127655e-13	0.76052937582256	0.803	0.626	3.176012978358081e-9
RAB40B	2.632383966323767e-25	0.7598454080182564	0.453	0.101	5.2255454115493095e-21
SRP14	1.1374856335521188e-30	0.7564155846767706	1	0.977	2.258022731164311e-26
SIVA1	1.2272008443256149e-17	0.7553949505575743	0.893	0.67	2.436116396070778e-13
C19orf81	6.369423956983648e-25	0.7533877634616691	0.417	0.083	1.264394349700824e-20
CAPG	4.5956210362574756e-24	0.7484707651090035	0.92	0.738	9.122767319074714e-20
LOXL4	5.407271685849336e-27	0.7449703892700644	0.293	0.01	1.0733975023579517e-22
BAX	3.3270827741925473e-21	0.7449028296165705	0.837	0.525	6.604592015049626e-17
MS4A4A	4.519555402395941e-20	0.7422173457967716	0.54	0.223	8.971769429296183e-16
CDC40	1.3603194957253348e-21	0.7397567325596313	0.857	0.647	2.700370230964362e-17
TNFRSF18	4.48239449948997e-11	0.7342119846200306	0.14	0.013	8.898001320937539e-7
SRPK3	2.9040753566950493e-24	0.73060506215839	0.273	0.013	5.764879990575342e-20
AIF1	9.866859690788939e-15	0.7286080299468385	0.73	0.499	1.9586703172185122e-10
ID3	6.275220111834338e-12	0.7208508931232889	0.17	0.021	1.2456939444002346e-7
SRM	3.138577626863385e-14	0.7180572986648446	0.59	0.338	6.230390447086505e-10
VAMP8	6.582565932801592e-36	0.7178454713084088	0.993	0.951	1.306705163320444e-31
RRP7A	2.56932297181148e-15	0.7159609186916286	0.663	0.405	5.1003630313429694e-11
TUBA1A	6.3078061621944596e-18	0.7156109142514393	0.753	0.434	1.2521626012572223e-13
PSMD7	2.417994380005657e-21	0.7108595020363353	0.853	0.618	4.7999606437492294e-17
TTN	6.406426640882401e-16	0.7037858481287733	0.357	0.101	1.2717397524815654e-11
COX20	5.105663967010128e-19	0.7032593039697117	0.737	0.384	1.0135253540911806e-14
BAHCC1	7.086074775642489e-14	0.7026005998059053	0.59	0.33	1.4066567037127904e-9
CD59	5.638048149865072e-17	0.7008604365406192	0.423	0.145	1.1192089382297155e-12
NIBAN3	1.554762528653903e-23	0.6925079332153654	0.933	0.758	3.0863590956308627e-19
PPDPF	7.761147064331987e-21	0.6912678937468153	0.927	0.67	1.5406653037405426e-16
MT1F	1.6145529961679424e-26	0.69052806954131285	0.353	0.042	3.2050491526929823e-22
DGCR6L	1.26967840859849e-15	0.688541025424934	0.493	0.218	2.5204386089088625e-11
IL2RG	1.9675617192046148e-16	0.688439720348125	0.697	0.395	3.905806768793081e-12
CXorf21	3.2353481956108736e-12	0.6874362062997832	0.607	0.353	6.422489703107145e-8
NAA10	1.9201518883244943e-17	0.6865228738129971	0.663	0.369	3.8116935135129536e-13
SIRPG	2.084251157168196e-20	0.6830566683778598	0.283	0.036	4.1374469720945857e-16
RAN	3.470345206195778e-16	0.6804854166436067	0.897	0.784	6.888982268819238e-12
VLDLR	1.0366433397249166e-22	0.6801116069296812	0.287	0.023	2.057840693687932e-18
NCBP2	1.8522010016146998e-17	0.67725725174243	0.72	0.436	3.6768042083053407e-13
DYNLL1	3.709988461355464e-21	0.6770883612170127	0.96	0.774	7.364698094636731e-17
SRGAP3	2.520125130809086e-21	0.6688756903554398	0.353	0.065	5.002700397169117e-17
CYB5A	1.519466598667674e-20	0.6673214552234561	0.513	0.182	3.0162931450152e-16
NR3C1	2.1350364140105536e-13	0.6653251382078502	0.85	0.719	4.23826078545235e-9
SHTN1	1.7431130954115865e-19	0.6627263994303525	0.757	0.418	3.4602538057015406e-15
